CodCarrera|Carrera|CodMateria|Materia
5|Actuario-Admin.|244|Metodología de las Ciencias Sociales
5|Actuario-Admin.|245|Álgebra
5|Actuario-Admin.|246|Historia Económica y Social General
5|Actuario-Admin.|247|Teoría Contable
5|Actuario-Admin.|248|Estadística I
5|Actuario-Admin.|249|Historia Económica y Social Argentina
5|Actuario-Admin.|250|Microeconomía I
5|Actuario-Admin.|251|Instituciones de Derecho Público
5|Actuario-Admin.|252|Administración General
5|Actuario-Admin.|273|Instituciones de Derecho Privado
5|Actuario-Admin.|274|Sistemas Administrativos
5|Actuario-Admin.|275|Tecnología de la Información
5|Actuario-Admin.|276|Cálculo Financiero
5|Actuario-Admin.|277|Gestión y Costos
5|Actuario-Admin.|278|Macroeconomía y Política Económica
5|Actuario-Admin.|279|Administración Financiera
5|Actuario-Admin.|284|Análisis Matemático II
5|Actuario-Admin.|285|Estadística II
5|Actuario-Admin.|288|Matemática para Economistas
5|Actuario-Admin.|552|Dinero, Crédito y Bancos
5|Actuario-Admin.|751|Estadística Actuarial
5|Actuario-Admin.|752|Análisis Numérico
5|Actuario-Admin.|753|Biometría Actuarial
5|Actuario-Admin.|754|Teoría Actuarial de los Seguros Personales
5|Actuario-Admin.|755|Teoría Actuarial de los Seguros Patrimoniales
5|Actuario-Admin.|756|Teoría Actuarial de los Fondos y Planes de Jubilaciones, Pensiones y Salud
5|Actuario-Admin.|757|Teoría de Equilibrio Actuarial
5|Actuario-Admin.|758|Bases Actuariales de las Inversiones y Financiaciones
5|Actuario-Admin.|759|Seminario de Integración y Aplicación
6|Actuario-Econ.|241|Análisis Matemático I
6|Actuario-Econ.|242|Economía 
6|Actuario-Econ.|243|Sociología 
6|Actuario-Econ.|244|Metodología de las Ciencias Sociales
6|Actuario-Econ.|245|Álgebra
6|Actuario-Econ.|246|Historia Económica y Social General
6|Actuario-Econ.|247|Teoría Contable
6|Actuario-Econ.|248|Estadística I
6|Actuario-Econ.|249|Historia Económica y Social Argentina
6|Actuario-Econ.|261|Teoría Política y Derecho Público
6|Actuario-Econ.|262|Macroeconomía I
6|Actuario-Econ.|284|Análisis Matemático II
6|Actuario-Econ.|273|Instituciones del Derecho Privado
6|Actuario-Econ.|276|Cálculo Financiero
6|Actuario-Econ.|279|Administración Financiera
6|Actuario-Econ.|283|Macroeconomía II
6|Actuario-Econ.|285|Estadística II
6|Actuario-Econ.|286|Microeconomía II
6|Actuario-Econ.|287|Geografía Económica
6|Actuario-Econ.|288|Matemática para Economistas
6|Actuario-Econ.|289|Epistemología de la Economía
6|Actuario-Econ.|290|Microeconomía I (para Economistas)
6|Actuario-Econ.|552|Dinero, Crédito y Bancos
6|Actuario-Econ.|751|Estadística Actuarial
6|Actuario-Econ.|752|Análisis Numérico
6|Actuario-Econ.|753|Biometría Actuarial
6|Actuario-Econ.|754|Teoría Actuarial de los Seguros Personales
6|Actuario-Econ.|755|Teoría Actuarial de los Seguros Patrimoniales
6|Actuario-Econ.|756|Teoría Actuarial de los Fondos y Planes de Jubilaciones, Pensiones y Salud
6|Actuario-Econ.|757|Teoría de Equilibrio Actuarial
6|Actuario-Econ.|758|Bases Actuariales de las Inversiones y Financiaciones
6|Actuario-Econ.|759|Seminario de Integración y Aplicación
